,Position,Total,Remain
0017,民生光復路口,34,0
0018,臺北市藝文推廣處,40,31
0021,民生敦化路口,44,17
0033,中崙高中,46,8
0050,民權運動公園,52,14
0055,臺北田徑場,46,7
0077,民生活動中心,32,4
0086,民權復興路口,26,4
0096,三民公園,30,5
0170,新東公園,50,9
0172,捷運南京三民站(1號出口),24,22
0174,捷運小巨蛋站(5號出口),48,0
0175,捷運南京復興站(5號出口),52,12
0197,饒河夜市(八德路側),34,14
0231,內政部營建署,40,2
0235,市民東興路口,30,8
0255,光復南路22巷口,30,2
0261,健康新城,44,15
0291,捷運松山站(3號出口),50,28
0302,敦北公園,40,12
0308,西松高中,30,15
0309,三軍總醫院(松山分院),38,17
0314,敦化長春路口,34,13
0316,民有一號公園,30,12
0320,捷運南京三民站(3號出口),28,12
0333,復盛公園,28,0
0340,南京光復路口,22,12
0348,民生立體停車場,24,5
0359,健安新城,34,13
0373,中崙福成宮,32,1
0380,塔悠疏散門,30,12
0384,松基公園,30,6
0392,南京東興路口,30,15
0396,新東街51巷口,28,14
